Voyager 1 48-sec averaged magnetic field data tab-delimited ascii files. 

The columns are:
1. SC   ID (Voyager 1)
2  year (2013)
3. DOY (Jan 1 = 1)
4. F1 (the magnetic field strength, the average of higher resolution field strengths, in nT)
5, 6, 7 BR, BT, BN (the magnetic field components in RTN coordinates, in nT)

The one sigma uncertainty is dBR ~= 0.02 nT and dBT ~= 0.02 nT. The uncertainty in dBN is larger, since we could not obtain this from a magrol; it could be between 0.02 nT and 0.1 nT. 

 SC	Yr		DOY	  F1		   Br		   Bt		   Bn
FLT1	12	61.7771	0.1189	0.02536	-0.10141	0.05648
FLT1	12	61.77766	0.11724	0.03446	-0.09494	0.0593
FLT1	12	61.77821	0.11728	0.03394	-0.09933	0.05203
FLT1	12	61.77877	0.11419	0.03204	-0.09473	0.05499
FLT1	12	61.77932	0.1167	0.03177	-0.09506	0.0592
FLT1	12	61.77988	0.11795	0.02895	-0.09625	0.06166
FLT1	12	61.78044	0.11633	0.0244	-0.0939	0.06387
FLT1	12	61.78099	0.11304	0.03009	-0.09059	0.06044
FLT1	12	61.78155	0.11844	0.03011	-0.09821	0.0588
FLT1	12	61.7821	0.12135	0.02957	-0.09911	0.0633
FLT1	12	61.78266	0.1308	0.03158	-0.10468	0.07168
FLT1	12	61.78321	0.13519	0.03189	-0.10784	0.07493
FLT1	12	61.78377	0.13117	0.03422	-0.10652	0.0681
FLT1	12	61.78432	0.13809	0.03847	-0.11253	0.07002
FLT1	12	61.78488	0.1434	0.03238	-0.11786	0.0749
FLT1	12	61.78543	0.13096	0.03208	-0.10752	0.06734
FLT1	12	61.78599	0.13026	0.03444	-0.10562	0.06786
FLT1	12	61.78654	0.12844	0.03239	-0.10625	0.06432
FLT1	12	61.7871	0.11979	0.02509	-0.10037	0.0603
FLT1	12	61.78766	0.12096	0.03299	-0.09904	0.06105
FLT1	12	61.78821	0.1209	0.03346	-0.098	0.06235
FLT1	12	61.78877	0.1279	0.03486	-0.10553	0.06308
FLT1	12	61.78933	0.1239	0.03346	-0.1022	0.06141
FLT1	12	61.78988	0.11885	0.03365	-0.09677	0.06016
FLT1	12	61.79044	0.1177	0.03609	-0.09549	0.05839
FLT1	12	61.79099	0.11838	0.03268	-0.09886	0.05602
FLT1	12	61.79155	0.1281	0.03339	-0.10674	0.06224
FLT1	12	61.7921	0.12269	0.02909	-0.10392	0.05811
FLT1	12	61.79266	0.12141	0.04053	-0.09926	0.05668
FLT1	12	61.79321	0.12498	0.0394	-0.10263	0.0594
FLT1	12	61.79377	0.12356	0.04055	-0.10113	0.05815
FLT1	12	61.79432	0.12699	0.04202	-0.10527	0.05698
FLT1	12	61.79488	0.12542	0.03926	-0.10076	0.06321
FLT1	12	61.79544	0.12398	0.03335	-0.09853	0.06733
FLT1	12	61.79599	0.12978	0.03083	-0.10299	0.07256
FLT1	12	61.79655	0.13223	0.03545	-0.1069	0.0692
FLT1	12	61.7971	0.12473	0.03008	-0.0995	0.06875
FLT1	12	61.79766	0.11293	0.03151	-0.08955	0.06098
FLT1	12	61.79821	0.12202	0.03581	-0.09532	0.06712
FLT1	12	61.79877	0.11625	0.03232	-0.09189	0.0633
FLT1	12	61.79932	0.11142	0.02869	-0.0875	0.06221
FLT1	12	61.79988	0.1144	0.02923	-0.09286	0.05982
FLT1	12	61.80043	0.12252	0.01991	-0.10402	0.06133
FLT1	12	61.80099	0.12183	0.03454	-0.09982	0.06063
FLT1	12	61.80155	0.1206	0.02793	-0.0993	0.06232
FLT1	12	61.8021	0.13055	0.03793	-0.10551	0.06671
FLT1	12	61.80266	0.12443	0.03399	-0.10197	0.06249
FLT1	12	61.80322	0.12332	0.03363	-0.10109	0.06202
FLT1	12	61.80377	0.12824	0.03305	-0.1059	0.06387
FLT1	12	61.80433	0.13218	0.03083	-0.1123	0.06231
FLT1	12	61.80488	0.13441	0.03709	-0.11224	0.06359
FLT1	12	61.80544	0.1317	0.03754	-0.10894	0.06362
FLT1	12	61.80599	0.12938	0.03537	-0.10571	0.06561
FLT1	12	61.80655	0.1187	0.02691	-0.09663	0.06333
FLT1	12	61.8071	0.1221	0.02606	-0.10196	0.06179
FLT1	12	61.80766	0.11351	0.01871	-0.09688	0.05573
FLT1	12	61.80821	0.12337	0.02347	-0.1033	0.06299
FLT1	12	61.80877	0.12286	0.02821	-0.09839	0.06754
FLT1	12	61.80933	0.12354	0.02365	-0.09987	0.06859
FLT1	12	61.80988	0.12252	0.02191	-0.10181	0.0642
FLT1	12	61.81044	0.12306	0.03538	-0.10039	0.0615
FLT1	12	61.81099	0.1257	0.03227	-0.10376	0.06296
FLT1	12	61.81155	0.12571	0.03308	-0.10441	0.06156
FLT1	12	61.8121	0.12396	0.03627	-0.101	0.06183
FLT1	12	61.81266	0.12298	0.0255	-0.10075	0.06529
FLT1	12	61.81321	0.11704	0.02883	-0.09873	0.0556
FLT1	12	61.81377	0.12203	0.0305	-0.10266	0.0583
FLT1	12	61.81432	0.1183	0.02982	-0.09847	0.05798
FLT1	12	61.81488	0.11511	0.03269	-0.09531	0.05537
FLT1	12	61.81544	0.12032	0.03221	-0.09797	0.06182
FLT1	12	61.81599	0.1262	0.03656	-0.10223	0.06369
FLT1	12	61.81655	0.12586	0.03984	-0.10146	0.0628
FLT1	12	61.8171	0.12645	0.03533	-0.10133	0.06672
FLT1	12	61.81766	0.12607	0.03904	-0.10264	0.0618
FLT1	12	61.81821	0.12717	0.03749	-0.10224	0.06539
FLT1	12	61.81877	0.13025	0.03363	-0.10672	0.06649
FLT1	12	61.81932	0.13619	0.03676	-0.11404	0.06462
FLT1	12	61.81988	0.134	0.03598	-0.10913	0.06873
FLT1	12	61.82043	0.12902	0.04055	-0.10493	0.06295
FLT1	12	61.82099	0.13343	0.04214	-0.10584	0.06909
FLT1	12	61.82155	0.13647	0.03432	-0.11045	0.07224
FLT1	12	61.8221	0.12985	0.03633	-0.10375	0.06885
FLT1	12	61.82266	0.13126	0.03288	-0.10378	0.07315
FLT1	12	61.82321	0.12608	0.0333	-0.09836	0.07141
FLT1	12	61.82377	0.13441	0.03187	-0.10784	0.07349
FLT1	12	61.82433	0.13629	0.03655	-0.10879	0.07332
FLT1	12	61.82488	0.13609	0.03038	-0.10794	0.07664
FLT1	12	61.82544	0.13628	0.04011	-0.10618	0.07506
FLT1	12	61.82599	0.12989	0.02807	-0.1048	0.07115
FLT1	12	61.82655	0.13216	0.02977	-0.10863	0.06861
FLT1	12	61.8271	0.13006	0.03062	-0.10656	0.06775
